LicenseNo,LastUpdate,BusinessName,BUS-NAME-2,FullBusinessName,MailingAddress,City,State,County,ZIPCode,country,BusinessPhone,BusinessType,IssueDate,ReissueDate,ExpirationDate,InactivationDate,ReactivationDate,PendingSuspension,PendingClassRemoval,PendingClassReplace,PrimaryStatus,SecondaryStatus,Classifications(s),AsbestosReg,WorkersCompCoverageType,WCInsuranceCompany,WCPolicyNumber,WCEffectiveDate,WCExpirationDate,WCCancellationDate,WCSuspendDate,CBSuretyCompany,CBNumber,CBEffectiveDate,CBCancellationDate,CBAmount,WBSuretyCompany,WBNumber,WBEffectiveDate,WBCancellationDate,WBAmount,DBSuretyCompany,DBNumber,DBEffectiveDate,DBCancellationDate,DBAmount,DateRequired,DiscpCaseRegion,DBBondReason,DBCaseNo,NAME-TP-2
1000019,10/28/2025,D K IRON,,,2316 RALSTON ROAD,SACRAMENTO,CA,Sacramento,95821,,(916) 247 8092,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,C23,,Workers' Compensation Insurance,MARKEL INSURANCE COMPANY, MWC010220110, 10/17/2025, 10/17/2026,,,HUDSON INSURANCE COMPANY,30056298,01/01/2023,,25000,,,,,,,,,,,,,,,
1000023,01/13/2025,EL - HAWAT MICHEL,,MICHEL EL - HAWAT,21626 ALCORN DRIVE,MORENO VALLEY,CA,Riverside,92557,,(310) 770 7629,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,C10,,Exempt,,, 01/11/2025,,,,HUDSON INSURANCE COMPANY,30108422,01/01/2023,,25000,,,,,,,,,,,,,,,
1000024,07/28/2025,THRASHER POOL SERVICE,,,PO BOX 2847,OAKHURST,CA,Madera,93644,,(559) 580 5252,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,D35,,Exempt,,, 01/07/2025,,,,NATIONWIDE MUTUAL INSURANCE COMPANY,7901260078,07/27/2025,,25000,,,,,,,,,,,,,,,
1000027,09/04/2025,ESLE,ENERGY STAR LIGHTING & ELECTRIC INC,,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,Sacramento,95621,,(916) 804 5988,Corporation,01/10/2015,,01/31/2027,,,,,,CLEAR,,B| C10,,Workers' Compensation Insurance,EVEREST PREMIER INSURANCE COMPANY, 7600025988251, 08/01/2025, 08/01/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100920427,03/07/2025,,25000,,,,,,,,,,,,,,,Current Name
1000028,12/16/2024,JULES ROBERTO LANDSCAPING,,ROBERTO JULES LANDSCAPING,PO BOX 641463,SAN FRANCISCO,CA,San Francisco,94164,,(415) 377 5979,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,C27,,Workers' Compensation Insurance,MARKEL INSURANCE COMPANY, MWC0072327, 12/08/2015, 12/08/2025,,,BUSINESS ALLIANCE INSURANCE COMPANY,G81024043144,01/01/2023,,25000,,,,,,,,,,,,,,,
1000033,12/09/2024,LOPEZ CHRISTOPHER,,CHRISTOPHER LOPEZ,9977 VICTORIA STREET,ALTA LOMA,CA,San Bernardino,91701,,(909) 921 5162,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 12/08/2024,,,,HUDSON INSURANCE COMPANY,TCS23132,01/22/2024,,25000,,,,,,,,,,,,,,,
1000035,02/14/2025,FRESNO TINT,,,7257 NORTH ABBY AVENUE,PINEDALE,CA,Fresno,93650,,(559) 439 2000,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,D52,,Exempt,,, 01/31/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100930028,02/08/2025,,25000,,,,,,,,,,,,,,,
1000036,03/25/2025,Z O B BUILDERS,,,2422 SULLIVAN STREET,SAN PABLO,CA,Contra Costa,94806,,(510) 453 4675,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,B,,Workers' Compensation Insurance,NORGUARD INSURANCE COMPANY, SEWC685655, 04/01/2025, 04/01/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100804060,09/29/2023,,25000,,,,,,,,,,,,,,,
1000038,01/07/2025,ROBERT ELECTRIC TAHOE INC,ROBERT ELECTRIC INC,,P O BOX 3077,INCLINE VILLAGE,NV,,89450,,(775) 230 2220,Corporation,01/10/2015,02/14/2019,02/28/2027,,,,,,CLEAR,,C10,,Workers' Compensation Insurance,MARKEL INSURANCE COMPANY, MWC013790407, 11/05/2024, 11/05/2025,,,,BX0024558,02/14/2023,,25000,,,,,,,,,,,,,,,Current Name
1000039,09/22/2025,TEAM RENOVATE SD,,,1102 VICTOR ST,EL CAJON,CA,San Diego,92021,,(619) 847 4978,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,B,,Workers' Compensation Insurance,PACIFIC COMPENSATION INSURANCE COMPANY, WC1028081, 09/03/2025, 09/03/2026,,,NORTH RIVER INSURANCE COMPANY (THE),04CF613066,01/01/2023,,25000,,,,,,,,,,,,,,,
1000042,10/06/2025,CLARK GORDON CONSTRUCTION,,GORDON CLARK CONSTRUCTION,2528 GLACIER DR,FRAZIER PARK,CA,Kern,93225,,(818) 231 9216,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 01/31/2025,,,,HUDSON INSURANCE COMPANY,30124502,09/27/2023,11/01/2025,25000,,,,,,,,,,,,,,,
1000043,01/02/2025,VELA ROBERT JR,,ROBERT VELA JR,5562 E HOLLAND AVE,FRESNO,CA,Fresno,93727,,(559) 240 6645,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,C60,,Exempt,,, 12/30/2024,,,,HUDSON INSURANCE COMPANY,30039948,01/01/2023,,25000,,,,,,,,,,,,,,,
1000046,07/22/2025,BAYSIDE ELECTRIC,M TABBERT INC,M TABBERT INC DBA BAYSIDE ELECTRIC,131 SUNSET AVE STE E-337,SUISUN CITY,CA,Solano,94585,,(707) 753 1884,Corporation,01/10/2015,08/01/2017,08/31/2027,,,,,,CLEAR,,C10,,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY, EIG555564701, 07/06/2025, 07/06/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100350527,01/01/2023,,25000,,,,,,,,,,,,,,,Current Name
1000049,01/06/2025,PERFECTION + PAINTING,,,629 FALCONER RD,ESCONDIDO,CA,San Diego,92027,,(760) 855 4617,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,C33,,Exempt,,, 01/06/2025,,,,NORTH RIVER INSURANCE COMPANY (THE),04CF612977,01/01/2023,,25000,,,,,,,,,,,,,,,
1000051,09/08/2025,ALL ABOUT FIRE PROTECTION,,,1213 ENOS AVE,SEBASTOPOL,CA,Sonoma,95472,,(707) 235 0627,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,C16,,Workers' Compensation Insurance,AMERICAN INSURANCE COMPANY, 1404508, 09/12/2024, 09/12/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100332887,01/01/2023,,25000,,,,,,,,,,,,,,,
1000053,01/07/2025,RACE TRACK SPECIALTIES,,,4290 PALA RD,FALLBROOK,CA,San Diego,92028,,(760) 908 7337,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,C12,,Exempt,,, 01/06/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100836248,02/26/2024,,25000,,,,,,,,,,,,,,,
1000055,12/27/2024,YOUNG WILLIAM D AND SONS TRUCKING AND NURSERY,,WILLIAM D YOUNG AND SONS TRUCKING AND NURSERY,81-910 ARUS AVENUE,INDIO,CA,Riverside,92201,,(760) 347 7906,Partnership,01/12/2015,,01/31/2027,,,,,,CLEAR,,A| C27| HAZ,,Exempt,,, 12/20/2024,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100265089,01/01/2023,,25000,,,,,,,,,,,,,,,
1000057,12/30/2024,LIVE ACTION GENERAL ENGINEERING INC,,,2972 LARKIN AVE,CLOVIS,CA,Fresno,93612,,(559) 558 4771,Corporation,01/12/2015,,01/31/2027,,,,,,CLEAR,,A,,Workers' Compensation Insurance,NATIONAL CASUALTY COMPANY, WCC334011B, 01/01/2024, 01/01/2026,,,FIDELITY AND DEPOSIT COMPANY OF MARYLAND,9365426,01/01/2023,,25000,,,,,,,,,,,,,,,
1000058,02/05/2025,NORMAN CUNNINGHAM CONSTRUCTION,,,29109 LOMA PRIETA WAY,LOS GATOS,CA,Santa Clara,95033,,(408) 515 1871,Partnership,01/12/2015,,01/31/2027,,,,,,CLEAR,,A| C57,,Exempt,,, 01/30/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100264822,01/01/2023,,25000,,,,,,,,,,,,,,,
1000059,10/27/2025,BAKER ENERGY TEAM LLC,,,140 DIAMOND CREEK PLACE,ROSEVILLE,CA,Placer,95747,,(916) 740 4550,Limited Liability,01/12/2015,,01/31/2027,,,,,,CLEAR,WC Susp Pending,C46,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9119343, 12/05/2024, 11/05/2025, 10/27/2025,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100260262,01/01/2023,,25000,AMERICAN CONTRACTORS INDEMNITY COMPANY,1001025662,12/01/2014,,100000.0,,,,,,,,,,
1000061,12/30/2024,BUDGET SECURITY,,,10401 PEACH AVENUE,MISSION HILLS,CA,Los Angeles,91345,,(818) 402 5262,Sole Owner,01/12/2015,,01/31/2027,,,,,,CLEAR,,C-7,,Workers' Compensation Insurance,NORGUARD INSURANCE COMPANY, DOWC575371, 11/01/2024, 11/01/2025,,,HUDSON INSURANCE COMPANY,30142658,05/25/2024,,25000,,,,,,,,,,,,,,,
1000064,12/19/2024,COMPLETE TREE SERVICE A PARTNERSHIP,,,1907 MARYLAND AVENUE,WEST SACRAMENTO,CA,Yolo,95691,,(916) 375 0132,Partnership,01/12/2015,,01/31/2027,,,,,,CLEAR,,D49,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9329757, 12/20/2022, 12/20/2025,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100451386,01/01/2023,,25000,,,,,,,,,,,,,,,
1000066,07/17/2025,PACIFIC TRADES PLUS INC,,,41 ANTIGUA COURT,CORONADO,CA,San Diego,92118,,(858) 273 2111,Corporation,01/12/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 01/30/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100252558,01/01/2023,,25000,,,,,,,,,,,,,,,
1000068,06/25/2025,U S A REALTY CONSTRUCTION GROUP INC,,USA REALTY CONSTRUCTION GROUP INC,227 W VALLEY BLVDSTE 288B,SAN GABRIEL,CA,Los Angeles,91776,,(626) 866 6888,Corporation,01/12/2015,,01/31/2027,,,,,,CLEAR,,B| C10,,License does not have current W/C,,, 01/06/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100617942,01/01/2023,,25000,,,,,,,,,,,,,,,
1000070,06/03/2025,BEST UNITED TOP PAINTING INC,,,6924 VALMONT STREET 11,TUJUNGA,CA,Los Angeles,91042,,(213) 220 6605,Corporation,01/12/2015,,01/31/2027,,,,,,CLEAR,,C33,,Workers' Compensation Insurance,NORGUARD INSURANCE COMPANY, BEWC695725, 05/23/2025, 05/23/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100840988,03/06/2024,,25000,,,,,,,,,,,,,,,
1000071,06/16/2025,GRANDE ELECTRIC,,,1800 GOUGH STREET #1,SAN FRANCISCO,CA,San Francisco,94109,,(415) 797 2955,Sole Owner,01/12/2015,,06/30/2027,02/04/2019,06/09/2025,,,,CLEAR,,C10,,Exempt,,, 05/27/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100965597,06/09/2025,,25000,,,,,,,,,,,,,,,
1000074,10/17/2025,A IS W S I  LLC,,AIS WSI LLC,560 HORIZON DRIVE STE 100,SUWANEE,GA,,30024,,(678) 728 9100,Limited Liability,01/12/2015,,01/31/2027,,,,,,CLEAR,WC Susp Pending,C60,,Workers' Compensation Insurance,XL INSURANCE AMERICA INC, PWG747905601, 09/30/2024, 09/30/2025,,,TRAVELERS CASUALTY AND SURETY COMPANY OF AMERICA,106162346,01/01/2023,,25000,TRAVELERS CASUALTY AND SURETY COMPANY OF AMERICA,106162347,10/21/2014,,100000.0,,,,,,,,,,
1000078,12/09/2024,WENDTCO INC,,,45725 PARADISE VALLEY RD,INDIAN WELLS,CA,Riverside,92210,,(626) 497 6320,Corporation,01/12/2015,,01/31/2027,,,,,,CLEAR,,B| C-6,,License does not have current W/C,,, 12/07/2024,,,,HUDSON INSURANCE COMPANY,30138882,03/06/2024,,25000,,,,,,,,,,,,,,,
1000079,04/09/2025,PRESCOTT TROY CONSTRUCTION INC,,TROY PRESCOTT CONSTRUCTION INC,5715 CARFAX AVE,LAKEWOOD,CA,Los Angeles,90713,,(562) 822 2859,Corporation,01/12/2015,11/30/2018,11/30/2026,,,,,,CLEAR,,B,,Workers' Compensation Insurance,AMERICAN INSURANCE COMPANY, WCPI966777001, 03/01/2025, 03/01/2026,,,HUDSON INSURANCE COMPANY,30141017,08/21/2024,,25000,,,,,,,,,,,,,,,
1000081,03/03/2025,CLINTON BURNS,,,6650 STONEY DR,REDDING,CA,Shasta,96002,,(530) 953 9353,Sole Owner,01/12/2015,,02/28/2027,11/02/2022,02/27/2025,,,,CLEAR,,C-7,,Exempt,,, 02/27/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100927062,01/30/2025,,25000,,,,,,,,,,,,,,,
1000082,03/25/2025,I-STAR ENERGY SOLUTIONS LLC,,,P O BOX 1268,LANCASTER,PA,,176081268,,(717) 399 5163,Limited Liability,01/12/2015,,01/31/2027,,,,,,CLEAR,,D65,,Workers' Compensation Insurance,ACE AMERICAN INSURANCE COMPANY, WLRC72792348, 04/01/2025, 04/01/2026,,,OHIO CASUALTY INSURANCE COMPANY (THE),998003556,01/01/2023,,25000,ARCH INSURANCE COMPANY,SU1206583,11/24/2024,,100000.0,,,,,,,,,,
1000085,12/19/2024,CRESPO'S LANDSCAPING MAINTENANCE,,,P O BOX 1035,POMONA,CA,Los Angeles,91768,,(909) 374 1875,Sole Owner,01/12/2015,,01/31/2027,,,,,,Work Comp Susp,,C27| D49,,License does not have current W/C,BERKSHIRE HATHAWAY DIRECT INSURANCE COMPANY, N9WC265831, 01/12/2021, 01/12/2023,, 01/12/2023,BUSINESS ALLIANCE INSURANCE COMPANY,G141115959341,11/16/2024,,25000,,,,,,,,,,,,,,,
1000087,02/20/2025,CATO'S PAVING,CATO'S GENERAL ENGINEERING INC,,22302 HATHAWAY AVE,HAYWARD,CA,Alameda,94541,,(510) 397 2677,Corporation,01/12/2015,,01/31/2027,,,,,,CLEAR,,A,,Workers' Compensation Insurance,EVEREST PREMIER INSURANCE COMPANY, 7600018667251, 02/19/2025, 02/19/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100699801,01/01/2023,,25000,,,,,,,,,,,,,,,Current Name
1000088,05/08/2025,EASTBAY WRAPS & SIGNS CO INC,,,P O BOX 4717,WALNUT CREEK,CA,Contra Costa,94596,,(510) 566 8805,Corporation,01/12/2015,,01/31/2027,,,,,,CLEAR,,D29,,Workers' Compensation Insurance,AMERICAN INSURANCE COMPANY, 1176994, 05/07/2025, 05/07/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100262460,01/01/2023,,25000,,,,,,,,,,,,,,,
1000090,09/19/2025,MARTIN SHEET METAL,,,11057 TELFAIR AVE,PACOIMA,CA,Los Angeles,91331,,(818) 573 3021,Sole Owner,01/12/2015,,01/31/2027,,,,,,CLEAR,,C33| C43,,Workers' Compensation Insurance,NATIONAL LIABILITY AND FIRE INSURANCE COMPANY, A9WC674655, 09/19/2025, 09/19/2026,,,ARCH INSURANCE COMPANY,SU71066550000,08/09/2023,,25000,,,,,,,,,,,,,,,
1000093,03/04/2025,PRIMETEK FIELD SOLUTIONS INC,,,605 RIALTO DR,VACAVILLE,CA,Solano,95687,,(707) 718 2140,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,C-7,,"Leasing Firm, Temp Agency, etc",AMERICAN ZURICH INSURANCE COMPANY, WC1019007, 04/01/2021, 04/01/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100263553,01/01/2023,,25000,,,,,,,,,,,,,,,
1000094,12/18/2024,GONZALES DAVID BACKFLOW & PLUMBING SERVICES INC,,DAVID GONZALES BACKFLOW & PLUMBING SERVICES INC,8280 WABASH ST,VENTURA,CA,Ventura,93004,,(805) 218 8704,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,C36,,Exempt,,, 12/12/2024,,,,NORTH RIVER INSURANCE COMPANY (THE),04CF614324,01/06/2023,,25000,,,,,,,,,,,,,,,
1000095,01/15/2025,WILLHOIT BUILDERS INC,,,16392 GOTHARD STREET SUITE I,HUNTINGTON BEACH,CA,Orange,92647,,(714) 841 9337,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,C-5| C-6,,Workers' Compensation Insurance,, ONCC1205904, 11/30/2024, 11/30/2025,,,HUDSON INSURANCE COMPANY,30029898,01/01/2023,,25000,,,,,,,,,,,,,,,
1000096,01/28/2025,UNITED SHEET ROCK INC,,,1007 WEST COLLEGE AVENUE 133,SANTA ROSA,CA,Sonoma,95401,,(707) 293 9784,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,C-9,,Workers' Compensation Insurance,FARMERS INSURANCE EXCHANGE, A09504325, 12/22/2023, 12/22/2025,,,WESTERN SURETY COMPANY,26857344,01/02/2025,,25000,,,,,,,,,,,,,,,
1000097,02/24/2025,RAMONA TREE & STUMP,,,P O BOX 282,JULIAN,CA,San Diego,92036,,(760) 789 7050,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,D49,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9333828, 02/23/2024, 02/23/2026,,,HUDSON INSURANCE COMPANY,30030688,01/01/2023,,25000,,,,,,,,,,,,,,,
1000098,12/09/2024,GRIFFIN'S PLUMBING,GRIFFIN'S PLUMBING AND CONSTRUCTION INC,,3940 LAUREL CANYON BLVD 768,STUDIO CITY,CA,Los Angeles,91604,,(562) 659 4339,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,C36,,Exempt,,, 12/07/2024,,,,OLD REPUBLIC SURETY COMPANY,W150213576,01/01/2023,,25000,,,,,,,,,,,,,,,Current Name
1000101,12/26/2024,CASTNER,,,6937 ELAND RD,JOPLIN,MO,,64804,,(707) 718 3136,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,A,,Exempt,,, 12/24/2024,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100264566,01/01/2023,,25000,,,,,,,,,,,,,,,
1000102,09/16/2025,SCHINDLER TECHNOLOGIES,,,P O BOX 7554,BEVERLY HILLS,CA,Los Angeles,90212,,(323) 350 2909,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,C38,,Exempt,,, 09/16/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100264364,01/01/2023,,25000,,,,,,,,,,,,,,,
1000103,01/21/2025,DNA FLOORS,,,6085 PEORIA DR,CITRUS HEIGHTS,CA,Sacramento,95621,,(916) 267 8169,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,C15,,Exempt,,, 01/17/2025,,,,HUDSON INSURANCE COMPANY,30031289,01/01/2023,,25000,,,,,,,,,,,,,,,
1000110,01/29/2025,MAINGOT ELECTRIC,,,4972 ABRAHAM ST,CYPRESS,CA,Orange,90630,,(714) 313 4887,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,C10,,Exempt,,, 01/28/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100266231,01/01/2023,,25000,,,,,,,,,,,,,,,
1000112,01/10/2025,TOM BUILDERS,TOM OF THE LINE DEMOLITION INC,,6515 KENWATER AVENUE,WEST HILLS,CA,Los Angeles,91307,,(818) 268 7412,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,B,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9151505, 01/22/2017, 01/22/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100876682,08/02/2024,,25000,,,,,,,,,,,,,,,Current Name
1000115,10/17/2025,SAPPHIRE CONSTRUCTION & DEVELOPMENT INC,,,12400 VENTURA BLVD #1129,STUDIO CITY,CA,Los Angeles,91604,,(818) 355 4763,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,B,,Workers' Compensation Insurance,SENTINEL INSURANCE COMPANY LTD, 72WEABV9GHG, 10/05/2025, 08/31/2026,,,MERCHANTS BONDING COMPANY (MUTUAL),101666313,10/07/2025,,25000,,,,,,,,,,,,,,,
1000116,01/03/2025,ACTIVE GARAGE DOOR SERVICES,,,4754 PENROSE AVE,MOORPARK,CA,Ventura,93021,,(805) 279 9677,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,D28,,Exempt,,, 01/02/2025,,,,PHILADELPHIA INDEMNITY INSURANCE COMPANY,PB10163400180,11/26/2024,,25000,,,,,,,,,,,,,,,
1000118,03/14/2025,L M F FLOORS,,,313 E KENTUCKY ST,FAIRFIELD,CA,Solano,94533,,(707) 803 0330,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,C15,,Exempt,,, 03/07/2025,,,,WESTERN SURETY COMPANY,66942190,02/02/2024,,25000,,,,,,,,,,,,,,,
1000121,01/30/2025,GONZALEZ CIRENIO,,CIRENIO GONZALEZ,2071 SOUTH VAN NESS AVENUE,SANTA ANA,CA,Orange,92707,,(714) 356 9461,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,C27,,Exempt,,, 01/29/2025,,,,PHILADELPHIA INDEMNITY INSURANCE COMPANY,PA02928900037,01/01/2023,,25000,,,,,,,,,,,,,,,
1000122,10/17/2025,ESPARZA VICENTE PAINTING,,VICENTE ESPARZA PAINTING,42454 21ST WEST,LANCASTER,CA,Los Angeles,93536,,(661) 305 7393,Sole Owner,01/13/2015,,01/31/2027,,,,,,CLEAR,,C33,,Workers' Compensation Insurance,CLEAR SPRING PROPERTY AND CASUALTY COMPANY, CWC03629300, 10/17/2025, 10/17/2026,,,NORTH RIVER INSURANCE COMPANY (THE),04CF614063,01/12/2023,,25000,,,,,,,,,,,,,,,
